alpha,rho,N,closure,threshold,Z_observed,Z_predicted,beta,mu,g
1.2,0.3,512,corrected,0.01,,,1.2001532722697053,-0.026352300143870758,0.2980904795342038
1.2,0.3,1024,open,0.001,45.1,48.042433109445405,1.2001532722697053,-0.026352300143870758,0.2980904795342038
1.2,0.3,1024,open,0.01,,55.78008492968664,1.2001532722697053,-0.026352300143870758,0.2980904795342038
1.2,0.3,1024,corrected,0.001,47.800000000000004,,1.2001532722697053,-0.026352300143870758,0.2980904795342038
1.2,0.3,1024,corrected,0.01,,,1.2001532722697053,-0.026352300143870758,0.2980904795342038
1.6,0.15,128,open,0.001,79.0,82.86001589412096,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,128,open,0.01,,98.05052458078899,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,128,corrected,0.001,73.9,,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,128,corrected,0.01,86.7,,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,256,open,0.001,89.0,90.17413622099403,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,256,open,0.01,,105.37697879741069,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,256,corrected,0.001,,,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,256,corrected,0.01,,,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,512,open,0.001,,97.49468967961478,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,512,open,0.01,,112.70816195760483,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,512,corrected,0.001,,,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,512,corrected,0.01,,,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,1024,open,0.001,,104.82075738666184,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,1024,open,0.01,,120.04348515063806,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,1024,corrected,0.001,,,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.15,1024,corrected,0.01,,,1.6002383326855818,0.14761294089574906,0.1499447723013107
1.6,0.3,128,open,0.001,43.6,46.07694960991509,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,128,open,0.01,47.9,53.85495096245245,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,128,corrected,0.001,46.300000000000004,,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,128,corrected,0.01,,,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,256,open,0.001,46.6,49.82500267295178,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,256,open,0.01,,57.59758923816246,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,256,corrected,0.001,47.9,,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,256,corrected,0.01,,,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,512,open,0.001,47.9,53.57024098257863,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,512,open,0.01,,61.338131237464275,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,512,corrected,0.001,,,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,512,corrected,0.01,,,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,1024,open,0.001,,57.313050420198515,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,1024,open,0.01,,65.07682822860637,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,1024,corrected,0.001,,,1.6001219098981472,-0.14693950170241168,0.2989848978959758
1.6,0.3,1024,corrected,0.01,,,1.6001219098981472,-0.14693950170241168,0.2989848978959758
