alpha,rho,N,g_theory,g_error,g_ratio,r2,n_points
0.8,0.15,128,0.1488467493905591,0.13932913124126547,0.9360576016052568,0.999867393657439,253
0.8,0.15,256,0.1488467493905591,0.15947741172154636,1.0714201846833311,0.9998469389631971,268
0.8,0.15,512,0.1488467493905591,0.159748075965835,1.0732385935192437,0.9999903761874953,302
0.8,0.15,1024,0.1488467493905591,0.16194754439866618,1.0880153249012638,0.9999832080693324,309
0.8,0.3,128,0.2999056562908215,0.29089731597179785,0.9699627528522231,0.9999473887133599,153
0.8,0.3,256,0.2999056562908215,0.2847542787588321,0.9494795205953136,0.9999777394267557,153
0.8,0.3,512,0.2999056562908215,0.28713176982486105,0.9574069838363652,0.9999901400834939,153
0.8,0.3,1024,0.2999056562908215,0.28964568526954165,0.965789338059931,0.9999872925040534,153
1.2,0.15,128,0.1468434516569534,0.1724096697375923,1.174105265111618,0.9980845775106496,313
1.2,0.15,256,0.1468434516569534,0.1686063572819728,1.1482048084504344,0.9980739478231133,313
1.2,0.15,512,0.1468434516569534,0.16520549542810845,1.1250450296827081,0.997851139781218,313
1.2,0.15,1024,0.1468434516569534,0.16728307631727368,1.1391933002778365,0.9985161452245087,283
1.2,0.3,128,0.2980904795342038,0.29833095519018793,1.0008067203500088,0.9990202859193442,154
1.2,0.3,256,0.2980904795342038,0.29060033183058337,0.9748729053161156,0.9993706952330866,154
1.2,0.3,512,0.2980904795342038,0.28924950629701646,0.9703413096218226,0.9994591212895799,148
1.2,0.3,1024,0.2980904795342038,0.2931469876039523,0.983416136141026,0.9995428672776152,118
1.6,0.15,128,0.1499447723013107,0.15719695934281264,1.0483657211265014,0.9999790674683059,307
1.6,0.15,256,0.1499447723013107,0.1549003364717018,1.0330492627007561,0.9999990850457582,272
1.6,0.15,512,0.1499447723013107,0.15414058370717423,1.0279823787216278,0.9999999591418525,201
1.6,0.15,1024,0.1499447723013107,0.15395356904057764,1.0267351550690367,0.9999999938411792,129
1.6,0.3,128,0.2989848978959758,0.29040800769805086,0.971313299573716,0.9999002099818596,145
1.6,0.3,256,0.2989848978959758,0.28772066265736934,0.9623250695340285,0.9999157619134454,105
1.6,0.3,512,0.2989848978959758,0.2898150950412862,0.9693302139364912,0.9999600823818944,66
1.6,0.3,1024,0.2989848978959758,0.2936248152427616,0.9820723966630612,0.9999923083951318,27
