alpha,rho,N,Z,tau,reference_mode_amplitude,reference_max_intensity,open_field_error,corrected_field_error,open_intensity_error,corrected_intensity_error,reference_power_rel,open_power_rel
0.8,0.15,256,0.5,0.07442337469527956,5.024629008133023e-07,1.0000020055424124,9.362666330648276e-09,4.5966889176595714e-10,1.24929035504601e-10,1.7434666663065043e-10,-2.2204460492492028e-16,-2.2204460492492028e-16
0.8,0.15,512,0.5,0.07442337469527956,5.024629008133023e-07,1.0000020055424124,5.675809515859161e-09,7.86222028421073e-11,5.934383744806916e-11,4.566481223714707e-11,-2.2204460492492028e-16,-2.2204460492492028e-16
0.8,0.15,1024,0.5,0.07442337469527956,5.024629008133023e-07,1.0000020055424124,3.249048714124928e-09,1.2909914079039042e-11,4.524603815988137e-11,1.2105007337851416e-11,-2.2204460492492028e-16,-2.2204460492492028e-16
0.8,0.15,128,0.6,0.08930804963433546,5.035456286349417e-07,1.0000020079822542,2.8920355104413885e-08,2.7454438445157722e-09,5.152260181474855e-10,9.066222689727248e-10,0.0,-2.2204460492492028e-16
0.8,0.15,256,0.6,0.08930804963433546,5.035456286349417e-07,1.0000020079822542,1.1241170170424969e-08,5.556310406522733e-10,1.7995370989369645e-10,2.5050864197026076e-10,0.0,-2.2204460492492028e-16
0.8,0.15,512,0.6,0.08930804963433546,5.035456286349417e-07,1.0000020079822542,6.814164005538089e-09,9.599077060946825e-11,8.548937836975484e-11,6.559162635922063e-11,0.0,-2.2204460492492028e-16
0.8,0.15,1024,0.6,0.08930804963433546,5.035456286349417e-07,1.0000020079822542,3.9007666445513825e-09,1.6201711643747976e-11,6.518094121616287e-11,1.7382704862905017e-11,0.0,0.0
0.8,0.15,128,0.7000000000000001,0.10419272457339139,5.048244791274025e-07,1.0000020108669812,3.375301897693815e-08,3.2183966890473025e-09,7.016127239549845e-10,1.231285762043039e-09,0.0,-2.2204460492492028e-16
0.8,0.15,256,0.7000000000000001,0.10419272457339139,5.048244791274025e-07,1.0000020108669812,1.3122933193090294e-08,6.536472003613536e-10,2.450268931871398e-10,3.4010722665016605e-10,0.0,-2.2204460492492028e-16
0.8,0.15,512,0.7000000000000001,0.10419272457339139,5.048244791274025e-07,1.0000020108669812,7.954261258621054e-09,1.1417781171587317e-10,1.1641577243945946e-10,8.901764855571925e-11,0.0,-4.4408920984984055e-16
