alpha,rho,N,closure,threshold,Z_f,g,beta
0.8,0.3,256,corrected,1e-05,33.0,0.2999056562908215,0.8005208889030638
0.8,0.3,256,open,3e-05,23.8,0.2999056562908215,0.8005208889030638
0.8,0.3,256,corrected,3e-05,35.9,0.2999056562908215,0.8005208889030638
0.8,0.3,256,open,0.0001,27.8,0.2999056562908215,0.8005208889030638
0.8,0.3,256,corrected,0.0001,38.0,0.2999056562908215,0.8005208889030638
0.8,0.3,256,open,0.0003,31.3,0.2999056562908215,0.8005208889030638
0.8,0.3,256,corrected,0.0003,39.7,0.2999056562908215,0.8005208889030638
0.8,0.3,256,open,0.001,35.1,0.2999056562908215,0.8005208889030638
0.8,0.3,256,corrected,0.001,41.6,0.2999056562908215,0.8005208889030638
0.8,0.3,256,open,0.01,42.2,0.2999056562908215,0.8005208889030638
0.8,0.3,256,corrected,0.01,45.3,0.2999056562908215,0.8005208889030638
0.8,0.3,512,open,1e-05,21.8,0.2999056562908215,0.8005208889030638
0.8,0.3,512,corrected,1e-05,34.5,0.2999056562908215,0.8005208889030638
0.8,0.3,512,open,3e-05,25.6,0.2999056562908215,0.8005208889030638
0.8,0.3,512,corrected,3e-05,36.6,0.2999056562908215,0.8005208889030638
0.8,0.3,512,open,0.0001,29.7,0.2999056562908215,0.8005208889030638
0.8,0.3,512,corrected,0.0001,38.7,0.2999056562908215,0.8005208889030638
0.8,0.3,512,open,0.0003,33.4,0.2999056562908215,0.8005208889030638
0.8,0.3,512,corrected,0.0003,40.6,0.2999056562908215,0.8005208889030638
0.8,0.3,512,open,0.001,37.4,0.2999056562908215,0.8005208889030638
0.8,0.3,512,corrected,0.001,42.6,0.2999056562908215,0.8005208889030638
0.8,0.3,512,open,0.01,44.7,0.2999056562908215,0.8005208889030638
0.8,0.3,512,corrected,0.01,46.3,0.2999056562908215,0.8005208889030638
0.8,0.3,1024,open,1e-05,23.6,0.2999056562908215,0.8005208889030638
0.8,0.3,1024,corrected,1e-05,35.800000000000004,0.2999056562908215,0.8005208889030638
0.8,0.3,1024,open,3e-05,27.4,0.2999056562908215,0.8005208889030638
0.8,0.3,1024,corrected,3e-05,37.7,0.2999056562908215,0.8005208889030638
0.8,0.3,1024,open,0.0001,31.5,0.2999056562908215,0.8005208889030638
0.8,0.3,1024,corrected,0.0001,39.8,0.2999056562908215,0.8005208889030638
0.8,0.3,1024,open,0.0003,35.2,0.2999056562908215,0.8005208889030638
0.8,0.3,1024,corrected,0.0003,41.6,0.2999056562908215,0.8005208889030638
0.8,0.3,1024,open,0.001,39.3,0.2999056562908215,0.8005208889030638
0.8,0.3,1024,corrected,0.001,43.6,0.2999056562908215,0.8005208889030638
0.8,0.3,1024,open,0.01,46.6,0.2999056562908215,0.8005208889030638
0.8,0.3,1024,corrected,0.01,47.2,0.2999056562908215,0.8005208889030638
1.2,0.15,128,open,1e-05,39.4,0.1468434516569534,1.2010774818290246
1.2,0.15,128,corrected,1e-05,43.1,0.1468434516569534,1.2010774818290246
1.2,0.15,128,open,3e-05,45.3,0.1468434516569534,1.2010774818290246
1.2,0.15,128,corrected,3e-05,48.2,0.1468434516569534,1.2010774818290246
1.2,0.15,128,open,0.0001,52.0,0.1468434516569534,1.2010774818290246
1.2,0.15,128,corrected,0.0001,54.4,0.1468434516569534,1.2010774818290246
1.2,0.15,128,open,0.0003,58.2,0.1468434516569534,1.2010774818290246
1.2,0.15,128,corrected,0.0003,60.5,0.1468434516569534,1.2010774818290246
1.2,0.15,128,open,0.001,65.2,0.1468434516569534,1.2010774818290246
1.2,0.15,128,corrected,0.001,67.4,0.1468434516569534,1.2010774818290246
1.2,0.15,128,open,0.01,78.9,0.1468434516569534,1.2010774818290246
1.2,0.15,128,corrected,0.01,81.0,0.1468434516569534,1.2010774818290246
1.2,0.15,256,open,1e-05,45.0,0.1468434516569534,1.2010774818290246
1.2,0.15,256,corrected,1e-05,67.9,0.1468434516569534,1.2010774818290246
1.2,0.15,256,open,3e-05,51.3,0.1468434516569534,1.2010774818290246
1.2,0.15,256,corrected,3e-05,73.4,0.1468434516569534,1.2010774818290246
1.2,0.15,256,open,0.0001,58.3,0.1468434516569534,1.2010774818290246
1.2,0.15,256,corrected,0.0001,79.3,0.1468434516569534,1.2010774818290246
1.2,0.15,256,open,0.0003,64.8,0.1468434516569534,1.2010774818290246
1.2,0.15,256,corrected,0.0003,84.9,0.1468434516569534,1.2010774818290246
1.2,0.15,256,open,0.001,72.10000000000001,0.1468434516569534,1.2010774818290246
1.2,0.15,256,corrected,0.001,,0.1468434516569534,1.2010774818290246
1.2,0.15,256,open,0.01,86.10000000000001,0.1468434516569534,1.2010774818290246
1.2,0.15,256,corrected,0.01,,0.1468434516569534,1.2010774818290246
1.2,0.15,512,open,1e-05,50.3,0.1468434516569534,1.2010774818290246
1.2,0.15,512,corrected,1e-05,78.7,0.1468434516569534,1.2010774818290246
1.2,0.15,512,open,3e-05,56.7,0.1468434516569534,1.2010774818290246
1.2,0.15,512,corrected,3e-05,82.2,0.1468434516569534,1.2010774818290246
1.2,0.15,512,open,0.0001,63.9,0.1468434516569534,1.2010774818290246
1.2,0.15,512,corrected,0.0001,85.8,0.1468434516569534,1.2010774818290246
1.2,0.15,512,open,0.0003,70.5,0.1468434516569534,1.2010774818290246
1.2,0.15,512,corrected,0.0003,89.2,0.1468434516569534,1.2010774818290246
1.2,0.15,512,open,0.001,77.8,0.1468434516569534,1.2010774818290246
1.2,0.15,512,corrected,0.001,,0.1468434516569534,1.2010774818290246
1.2,0.15,512,open,0.01,,0.1468434516569534,1.2010774818290246
1.2,0.15,512,corrected,0.01,,0.1468434516569534,1.2010774818290246
1.2,0.15,1024,open,1e-05,55.3,0.1468434516569534,1.2010774818290246
1.2,0.15,1024,corrected,1e-05,80.60000000000001,0.1468434516569534,1.2010774818290246
1.2,0.15,1024,open,3e-05,61.9,0.1468434516569534,1.2010774818290246
1.2,0.15,1024,corrected,3e-05,84.10000000000001,0.1468434516569534,1.2010774818290246
1.2,0.15,1024,open,0.0001,69.10000000000001,0.1468434516569534,1.2010774818290246
1.2,0.15,1024,corrected,0.0001,87.9,0.1468434516569534,1.2010774818290246
