alpha,rho,sigma,R,Nref,N,Z,closure,D_W,D_W_ci_low,D_W_ci_high,Q99_ref,Q99_finite,Delta99,Delta99_ci_low,Delta99_ci_high,M4_ref,M4_finite,paired_max_mean,paired_max_positive_fraction,panel,intensity,pdf_ref,pdf_finite,realization,max_finite,max_ref,delta_max
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,15.058380356059592,0.0015119125326595,0.0015119125326595,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,15.38133637332408,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,15.704292390588568,0.0015119125326595,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,16.02724840785305,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,16.35020442511754,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,16.673160442382027,0.0,0.0030238250653191,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,16.996116459646515,0.0,0.0015119125326595,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,17.319072476911003,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,17.642028494175488,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,17.964984511439976,0.0,0.0015119125326595,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,18.287940528704464,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,18.61089654596895,0.0,0.0015119125326595,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,18.93385256323344,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,19.256808580497925,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,19.579764597762413,0.0015119125326595,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,19.9027206150269,0.0015119125326595,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,20.225676632291385,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,20.54863264955588,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,20.87158866682036,0.0015119125326595,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,21.19454468408485,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,21.51750070134933,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,21.840456718613822,0.0,0.0015119125326595,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,22.16341273587831,0.0,0.0015119125326595,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,22.4863687531428,0.0,0.0030238250653191,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,22.809324770407287,0.0,0.0015119125326595,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,23.13228078767177,0.0,0.0015119125326595,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,23.45523680493626,0.0015119125326595,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,23.778192822200747,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,24.101148839465232,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,24.42410485672972,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,24.747060873994208,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,25.070016891258696,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,25.392972908523184,0.0,0.0,,,,
,,,,,128,30.0,open,,,,,,,,,,,,,pdf,25.71592892578767,0.0,0.0015119125326595,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,0.1902532299328575,1.311419163693986,1.3052694841455967,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,0.5078510794844822,0.8732544958712591,0.8717170759841618,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,0.8254489290361069,0.278272999564609,0.2798104194517063,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,1.1430467785877314,0.1737284472419935,0.1737284472419935,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,1.460644628139356,0.1322181102903666,0.1214561710806856,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,1.7782424776909806,0.0814832540161562,0.0907077733387399,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,2.0958403272426054,0.0461225966129186,0.0399729170645294,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,2.41343817679423,0.0415103369516267,0.0461225966129186,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,2.731036026345855,0.0338232375161403,0.0353606574032376,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,3.04863387589748,0.021523878419362,0.0184490386451674,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,3.3662317254491043,0.0230612983064593,0.0384354971774321,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,3.683829575000729,0.0138367789838756,0.010761939209681,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,4.001427424552354,0.0138367789838755,0.0122993590967782,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,4.3190252741039785,0.0184490386451674,0.0092245193225837,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,4.636623123655603,0.0061496795483891,0.0138367789838755,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,4.954220973207228,0.0122993590967782,0.0122993590967782,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,5.271818822758853,0.010761939209681,0.0046122596612918,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,5.5894166723104775,0.0061496795483891,0.010761939209681,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,5.907014521862102,0.0030748397741945,0.0030748397741945,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,6.224612371413727,0.0046122596612918,0.0015374198870972,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,6.542210220965352,0.0015374198870972,0.0046122596612918,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,6.859808070516976,0.0015374198870972,0.0015374198870972,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,7.177405920068601,0.0015374198870972,0.0046122596612918,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,7.495003769620226,0.0015374198870972,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,7.81260161917185,0.0030748397741945,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,8.130199468723474,0.0046122596612918,0.0030748397741945,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,8.447797318275098,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,8.765395167826723,0.0030748397741945,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,9.082993017378348,0.0,0.0030748397741945,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,9.400590866929972,0.0,0.0015374198870972,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,9.718188716481595,0.0015374198870972,0.0015374198870972,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,10.035786566033222,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,10.353384415584848,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,10.670982265136471,0.0030748397741945,0.0030748397741945,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,10.988580114688096,0.0015374198870972,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,11.30617796423972,0.0015374198870972,0.0015374198870972,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,11.623775813791346,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,11.94137366334297,0.0,0.0030748397741945,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,12.258971512894597,0.0,0.0015374198870972,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,12.57656936244622,0.0015374198870972,0.0046122596612918,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,12.894167211997845,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,13.21176506154947,0.0015374198870972,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,13.529362911101094,0.0015374198870972,0.0030748397741945,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,13.84696076065272,0.0015374198870972,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,14.164558610204343,0.0,0.0015374198870972,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,14.482156459755968,0.0015374198870972,0.0,,,,
