alpha,rho,q,lambda_inf,mi_gain,panel,q_star,g_max,q_c,g_c,period,mode_index,g_ratio,lambda_qc,g_theory,g_num,beta_static,logA,A,mu,restricted_r2,beta_dynamic,mu_free,g_eff,g_eff_ratio,n_fit
0.8,0.15,,,,selected_modes,0.0424027216542447,0.15,0.0490873852123405,0.1488467493905591,128.0,1.0,0.9923116626037276,0.1685646221578592,,,,,,,,,,,,
0.8,0.3,,,,selected_modes,0.1013718440155694,0.3,0.098174770424681,0.2999056562908215,64.0,1.0,0.9996855209694052,0.2924768806488537,,,,,,,,,,,,
1.2,0.15,,,,selected_modes,0.1194131875142974,0.15,0.098174770424681,0.1468434516569534,64.0,1.0,0.9789563443796894,0.1193895327465915,,,,,,,,,,,,
1.2,0.3,,,,selected_modes,0.2180456052972887,0.3,0.196349540849362,0.2980904795342038,64.0,2.0,0.9936349317806794,0.2662055328334887,,,,,,,,,,,,
1.6,0.15,,,,selected_modes,0.1927601867684233,0.15,0.196349540849362,0.1499447723013107,64.0,2.0,0.999631815342072,0.154070044165369,,,,,,,,,,,,
1.6,0.3,,,,selected_modes,0.313020087531997,0.3,0.2945243112740431,0.2989848978959758,64.0,3.0,0.9966163263199196,0.2753417188325525,,,,,,,,,,,,
