alpha,rho,N,Z,tau,reference_mode_amplitude,reference_max_intensity,open_field_error,corrected_field_error,open_intensity_error,corrected_intensity_error,reference_power_rel,open_power_rel,panel,g_theory,g_error,g_ratio,r2,n_points,scaled_error
0.8,0.3,256,2.7,0.8097452719852181,8.16400242482589e-07,1.0000026923098082,5.842215921304796e-08,1.8086093282185662e-09,7.284261748926574e-09,3.6103294567155e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,2.8000000000000003,0.8397358376143003,8.396790431974112e-07,1.00000274758287,6.099875552088026e-08,1.9477236577572252e-09,7.894188873747226e-09,3.878941747544018e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,2.9,0.8697264032433824,8.638130359518454e-07,1.0000028053273933,6.362231274766045e-08,2.0947571837492674e-09,8.535566088139496e-09,4.157745834583513e-09,-2.2204460492492028e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,3.0,0.8997169688724644,8.888157892483116e-07,1.0000028655953217,6.62948590953041e-08,2.2500915190000828e-09,9.209461073290248e-09,4.446873856812478e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,3.1,0.9297075345015466,9.147022663367452e-07,1.0000029284408651,6.901846143961258e-08,2.4141121745222394e-09,9.916992485505433e-09,4.746460358992261e-09,-2.2204460492492028e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,3.2,0.9596981001306288,9.414888020508072e-07,1.000002993920555,7.17952269730346e-08,2.5872072152391523e-09,1.0659330947181883e-08,5.0566396190829735e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,3.3000000000000003,0.989688665759711,9.69193081249815e-07,1.0000030620932894,7.462730489147466e-08,2.7697667549836352e-09,1.1437701472338924e-08,5.3775463413118635e-09,-2.2204460492492028e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,3.4,1.019679231388793,9.978341189422952e-07,1.0000031330203911,7.751688807970312e-08,2.9621826048991395e-09,1.2253384133480108e-08,5.709314773311511e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,3.5,1.0496697970178752,1.027432243012003e-06,1.00000320676566,8.046621487800212e-08,3.164848213782841e-09,1.3107716683755061e-08,6.052078679818302e-09,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,3.6,1.0796603626469574,1.0580090791246353e-06,1.0000032833954298,8.34775708503856e-08,3.378159078043346e-09,1.4002095565040092e-08,6.405971164650455e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,3.7,1.1096509282760396,1.0895875385767568e-06,1.0000033629786305,8.655329060342234e-08,3.602513295968479e-09,1.4937978040338476e-08,6.771126305712699e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,3.8,1.1396414939051218,1.1221918088396624e-06,1.0000034455868476,8.969575965713795e-08,3.838312084661764e-09,1.5916884239330472e-08,7.147678146426872e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,3.9,1.1696320595342038,1.155847346903189e-06,1.0000035312943885,9.290741634046673e-08,4.085960719371529e-09,1.6940399219144552e-08,7.535762861635222e-09,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,4.0,1.199622625163286,1.1905808754311392e-06,1.000003620178347,9.619075373374784e-08,4.345869187232045e-09,1.8010174540551436e-08,7.935518725368266e-09,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,4.1,1.229613190792368,1.2264203818624845e-06,1.0000037123186751,9.954832166178189e-08,4.618452889366815e-09,1.9127930664795253e-08,8.347087223542007e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,4.2,1.2596037564214504,1.2633951202630297e-06,1.0000038077982552,1.0298272875058065e-07,4.9041334715846055e-09,2.0295459668787332e-08,8.770614051991667e-09,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,4.3,1.2895943220505324,1.3015356158857458e-06,1.000003906702971,1.0649664449146073e-07,5.203339167744112e-09,2.1514627118583363e-08,9.206249525083824e-09,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,4.4,1.3195848876796148,1.340873672451267e-06,1.0000040091217886,1.1009280138911725e-07,5.516505295365392e-09,2.2787374321753284e-08,9.654149084506741e-09,-2.2204460492492028e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,4.5,1.3495754533086968,1.3814423820737594e-06,1.0000041151468348,1.1377399714938253e-07,5.844074525473753e-09,2.4115721258519537e-08,1.0114474246145797e-08,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,4.6000000000000005,1.379566018937779,1.4232761376738015e-06,1.0000042248734806,1.1754309692687705e-07,6.1864970250406766e-09,2.550176903931817e-08,1.0587392323484644e-08,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,4.7,1.4095565845668612,1.4664106479872334e-06,1.0000043384004258,1.2140303563241453e-07,6.544230502768974e-09,2.6947702619065106e-08,1.1073076716677345e-08,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,4.8,1.4395471501959431,1.510882954951485e-06,1.0000044558297896,1.2535682029040878e-07,6.9177401443976755e-09,2.845579378692194e-08,1.1571707058153393e-08,0.0,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,4.9,1.4695377158250251,1.556731453312202e-06,1.0000045772672006,1.2940753244396137e-07,7.307498453158417e-09,3.0028403730625086e-08,1.2083468544901136e-08,-2.2204460492492028e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,5.0,1.4995282814541075,1.603995912796058e-06,1.0000047028218944,1.3355833066723754e-07,7.713985126489186e-09,3.166798642357512e-08,1.2608551927299316e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,5.1000000000000005,1.5295188470831895,1.6527175022835924e-06,1.0000048326068085,1.3781245309020649e-07,8.137686770743394e-09,3.3377091803614615e-08,1.3147152593504413e-08,-2.2204460492492028e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,5.2,1.559509412712272,1.7029388163283257e-06,1.0000049667386857,1.4217322002728334e-07,8.579096778235028e-09,3.515836874506049e-08,1.3699470534752237e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,5.3,1.589499978341354,1.7547039036708628e-06,1.000005105338179,1.466440366447717e-07,9.038715309434636e-09,3.7014568714440255e-08,1.4265709368311833e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,5.4,1.619490543970436,1.8080582980278208e-06,1.0000052485299615,1.5122839572427965e-07,9.517048956675526e-09,3.894854906635875e-08,1.4846075751026044e-08,-4.4408920984984055e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,5.5,1.6494811095995183,1.8630490508635368e-06,1.0000053964428353,1.5592988051651564e-07,1.0014610953784121e-08,4.0963277160367206e-08,1.5440778650046083e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,5.6000000000000005,1.6794716752286003,1.91972476621136e-06,1.000005549209851,1.607521676186765e-07,1.0531921207478442e-08,4.306183353858975e-08,1.605002926002191e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,5.7,1.7094622408576825,1.9781356374533225e-06,1.000005706968424,1.6569902995872134e-07,1.1069506448121377e-08,4.524741637920697e-08,1.66740399447295e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,5.8,1.7394528064867647,2.038333486288048e-06,1.000005869860461,1.707743398835426e-07,1.1627900541401834e-08,4.752334524816829e-08,1.7313024497311792e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,5.9,1.769443372115847,2.10037180353883e-06,1.0000060380324856,1.759820722997114e-07,1.2207644651194724e-08,4.989306537687134e-08,1.7967197299875648e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,6.0,1.7994339377449289,2.164305791948165e-06,1.0000062116357715,1.813263079112597e-07,1.280928789417714e-08,5.236015229849177e-08,1.863677366292304e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,6.1000000000000005,1.8294245033740115,2.2301924110609296e-06,1.0000063908264776,1.8681123655165549e-07,1.343338755493688e-08,5.4928315912591225e-08,1.932196961893496e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,6.2,1.8594150690030933,2.298090423988841e-06,1.0000065757657894,1.9244116060140225e-07,1.4080509705311771e-08,5.760140547779328e-08,2.002300194581598e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,6.3,1.889405634632176,2.3680604462869067e-06,1.000006766620062,1.982204985312328e-07,1.4751229588931411e-08,6.038341468543642e-08,2.0740088536669263e-08,-2.2204460492492028e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,6.4,1.9193962002612577,2.440164996705409e-06,1.0000069635609727,2.0415378848613877e-07,1.544613220781726e-08,6.327848619427064e-08,2.1473448691655265e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,6.5,1.94938676589034,2.514468550081796e-06,1.0000071667656736,2.102456920241247e-07,1.6165812624903752e-08,6.629091731073745e-08,2.222330306869533e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,6.6000000000000005,1.979377331519422,2.591037592216707e-06,1.0000073764169506,2.1650099793661682e-07,1.6910876543627392e-08,6.942516503312443e-08,2.298987436254245e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,6.7,2.009367897148504,2.6699406768865265e-06,1.000007592703389,2.2292462619093945e-07,1.7681940573872236e-08,7.268585198060264e-08,2.377338759080828e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,6.8,2.039358462777586,2.751248484889864e-06,1.0000078158195436,2.2952163198371237e-07,1.8479632623509716e-08,7.60777719391566e-08,2.4574070175122548e-08,-4.4408920984984055e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,6.9,2.0693490284066685,2.8350338852050484e-06,1.0000080459661107,2.36297209878088e-07,1.930459207554765e-08,7.960589583701925e-08,2.5392152326104686e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,7.0,2.0993395940357504,2.921371998491328e-06,1.0000082833501125,2.4325669812808764e-07,2.0157470028379836e-08,8.327537837427759e-08,2.6227867172060392e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,7.1000000000000005,2.129330159664833,3.0103402625917384e-06,1.0000085281850812,2.50405583067011e-07,2.1038929426861692e-08,8.709156403139558e-08,2.708145051896808e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,7.2,2.159320725293915,3.102018500357014e-06,1.00000878069125,2.577495036321298e-07,2.1949645220484626e-08,9.105999369432316e-08,2.7953141583901548e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,7.3,2.189311290922997,3.1964889899055112e-06,1.0000090410957547,2.652942560811435e-07,2.2890304349989242e-08,9.518641214738845e-08,2.8843182071799665e-08,-4.4408920984984055e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
