N,Z,closure,intensity,pdf_ref,pdf_finite
128,15.0,open,0.9477591922820265,0.34147927569552106,0.0
128,15.0,open,0.949189092380665,0.6829585513910952,0.0
128,15.0,open,0.9506189924793033,0.34147927569552106,0.6829585513910421
128,15.0,open,0.9520488925779417,0.34147927569552106,0.34147927569552106
128,15.0,open,0.95347879267658,0.0,0.0
128,15.0,open,0.9549086927752184,0.6829585513910421,0.34147927569552106
128,15.0,open,0.9563385928738568,0.34147927569552106,0.0
128,15.0,open,0.9577684929724952,1.0244378270866428,0.6829585513910952
128,15.0,open,0.9591983930711335,0.6829585513910421,0.6829585513910421
128,15.0,open,0.9606282931697719,1.3659171027820842,0.6829585513910421
128,15.0,open,0.9620581932684102,2.7318342055643807,2.390354929868833
128,15.0,open,0.9634880933670487,2.0488756541731266,2.7318342055641684
128,15.0,open,0.9649179934656871,2.0488756541731266,4.439230584041774
128,15.0,open,0.9663478935643255,4.439230584042119,4.097751308346571
128,15.0,open,0.9677777936629638,4.7807098597372955,3.414792756955211
128,15.0,open,0.9692076937616022,5.463668411128337,2.7318342055641684
128,15.0,open,0.9706375938602405,5.122189135433214,5.4636684111287614
128,15.0,open,0.9720674939588789,7.171064789605943,5.463668411128337
128,15.0,open,0.9734973940575173,6.4881062382149,7.854023340996985
128,15.0,open,0.9749272941561558,7.5125440653020465,9.90289899517088
128,15.0,open,0.9763571942547941,12.293253925038758,11.268816097952195
128,15.0,open,0.9777870943534325,11.610295373647716,12.9762124764298
128,15.0,open,0.9792169944520708,13.659171027821904,11.951774649344166
128,15.0,open,0.9806468945507092,15.70804668199397,20.830235817426786
128,15.0,open,0.9820767946493476,18.78136016325366,14.342129579211885
128,15.0,open,0.983506694747986,21.17171509312395,15.708046681995189
128,15.0,open,0.9849365948466243,21.513194368817828,17.415443060471574
128,15.0,open,0.9863664949452627,25.610945677164082,24.92798712577304
128,15.0,open,0.987796395043901,15.025088130604093,17.415443060472928
128,15.0,open,0.9892262951425395,22.53763219590439,21.854673644513348
128,15.0,open,0.9906561952411779,19.80579799034176,23.562070022992785
128,15.0,open,0.9920860953398162,24.92798712577304,21.513194368817828
128,15.0,open,0.9935159954384546,18.43988088755814,31.074614088292417
128,15.0,open,0.994945895537093,23.562070022990955,23.220590747295432
128,15.0,open,0.9963757956357313,23.562070022992785,23.903549298688333
128,15.0,open,0.9978056957343697,24.586507850077517,20.830235817426786
128,15.0,open,0.9992355958330081,23.903549298688333,18.098401611864023
128,15.0,open,1.0006654959316466,19.4643187146447,18.098401611862617
128,15.0,open,1.0020953960302847,21.513194368817828,18.43988088755814
128,15.0,open,1.0035252961289234,15.70804668199397,18.098401611862617
128,15.0,open,1.0049551962275616,21.513194368817828,17.415443060471574
128,15.0,open,1.0063850963262,17.073963784778705,17.415443060474278
128,15.0,open,1.0078149964248384,21.171715093122305,18.78136016325366
128,15.0,open,1.0092448965234766,12.9762124764298,21.171715093122305
128,15.0,open,1.0106747966221152,17.073963784776055,16.04952595768949
128,15.0,open,1.0121046967207534,16.732484509080532,16.391005233385012
128,15.0,open,1.013534596819392,16.732484509080532,20.830235817426786
128,15.0,open,1.0149644969180303,17.073963784778705,17.756922336169854
128,15.0,open,1.0163943970166684,15.025088130602928,14.000650303516364
128,15.0,open,1.017824297115307,13.659171027820843,13.317691752125322
128,15.0,open,1.0192541972139453,11.951774649343237,13.317691752125322
128,15.0,open,1.020684097312584,11.610295373647716,10.585857546561153
128,15.0,open,1.022113997411222,13.659171027820843,8.195502616692506
128,15.0,open,1.0235438975098605,8.195502616693778,6.829585513911482
128,15.0,open,1.024973797608499,6.829585513910422,7.854023340996985
128,15.0,open,1.0264036977071371,3.0733134812596896,6.829585513910422
128,15.0,open,1.0278335978057758,3.756272032650732,4.439230584041774
128,15.0,open,1.029263497904414,2.3903549298686477,5.122189135432816
128,15.0,open,1.0306933980030526,1.0244378270865633,5.122189135432816
128,15.0,open,1.0321232981016908,2.3903549298690185,4.780709859738037
128,15.0,open,1.033553198200329,3.0733134812596896,2.7318342055641684
128,15.0,open,1.0349830982989676,1.7073963784776054,2.0488756541731266
128,15.0,open,1.0364129983976058,2.7318342055641684,0.6829585513910421
128,15.0,open,1.0378428984962444,2.0488756541731266,1.0244378270865633
128,15.0,open,1.0392727985948826,2.3903549298690185,2.731834205564593
128,15.0,open,1.0407026986935208,2.0488756541731266,1.7073963784776054
128,15.0,open,1.0421325987921595,0.0,1.3659171027820842
128,15.0,open,1.0435624988907977,1.7073963784776054,0.6829585513910421
128,15.0,open,1.0449923989894363,0.0,0.6829585513910421
128,15.0,open,1.0464222990880745,0.0,0.6829585513910421
128,15.0,open,1.0478521991867131,0.34147927569552106,0.34147927569552106
128,15.0,open,1.0492820992853513,0.3414792756955741,0.0
128,15.0,open,1.0507119993839895,1.0244378270865633,0.0
128,15.0,open,1.0521418994826282,0.0,0.0
128,15.0,open,1.0535717995812663,0.34147927569552106,0.6829585513910421
128,15.0,open,1.055001699679905,0.0,0.0
128,15.0,open,1.0564315997785432,0.0,0.3414792756955741
128,15.0,open,1.0578614998771814,0.34147927569552106,0.0
128,15.0,open,1.05929139997582,0.0,0.0
128,15.0,open,1.0607213000744582,0.34147927569552106,0.0
128,15.0,corrected,0.9474870221431566,0.34037170791391363,0.34037170791391363
128,15.0,corrected,0.9489215751293392,0.68074341582788,0.68074341582788
128,15.0,corrected,0.9503561281155217,0.34037170791391363,0.34037170791391363
128,15.0,corrected,0.9517906811017045,0.0,0.34037170791391363
128,15.0,corrected,0.9532252340878871,0.34037170791394,0.0
128,15.0,corrected,0.9546597870740696,0.6807434158278273,0.6807434158278273
128,15.0,corrected,0.9560943400602524,0.34037170791391363,0.34037170791391363
128,15.0,corrected,0.957528893046435,1.02111512374182,1.02111512374182
128,15.0,corrected,0.9589634460326175,0.6807434158278273,0.6807434158278273
128,15.0,corrected,0.9603979990188003,1.021115123741741,1.3614868316556545
128,15.0,corrected,0.9618325520049829,2.72297366331152,2.38260195539758
128,15.0,corrected,0.9632671049911654,1.7018585395695682,2.042230247483482
128,15.0,corrected,0.9647016579773482,2.3826019553973956,1.7018585395695682
128,15.0,corrected,0.9661362109635308,3.4037170791394,5.1055756187091
128,15.0,corrected,0.9675707639497133,6.126690742450446,4.765203910794791
128,15.0,corrected,0.9690053169358961,4.424832202880878,4.424832202880878
128,15.0,corrected,0.9704398699220786,5.7863190345365325,6.4670624503643594
128,15.0,corrected,0.9718744229082613,6.46706245036486,5.78631903453698
128,15.0,corrected,0.973308975894444,7.488177574106101,8.168920989933929
128,15.0,corrected,0.9747435288806265,6.126690742450446,4.765203910794791
128,15.0,corrected,0.9761780818668092,12.93412490072972,13.27449660864366
128,15.0,corrected,0.9776126348529919,11.232266361159152,12.253381484900892
128,15.0,corrected,0.9790471878391744,12.934124900728719,12.593753192814805
128,15.0,corrected,0.9804817408253571,14.97635514821336,14.63598344029942
