N,Z,closure,realization,max_finite,max_ref,delta_max
128,15.0,corrected,38,1.0035133312529902,1.004063110830091,-0.0005497795771007841
128,15.0,corrected,39,1.0219050635832616,1.0218834225575024,2.1641025759189247e-05
128,15.0,corrected,40,1.0142143405463755,1.0141872152820235,2.7125264352001466e-05
128,15.0,corrected,41,1.0235305472949225,1.0236141931131546,-8.364581823205874e-05
128,15.0,corrected,42,1.0615339845446758,1.0614362501237775,9.773442089833217e-05
128,15.0,corrected,43,1.0512121943578472,1.051121054236834,9.1140121013078e-05
128,15.0,corrected,44,1.0160424330698423,1.0162423312441524,-0.00019989817431009804
128,15.0,corrected,45,1.0040480030279275,1.004190810613794,-0.000142807585866489
128,15.0,corrected,46,1.0117213821547877,1.0119964093557232,-0.00027502720093552924
128,15.0,corrected,47,1.0272742281560914,1.026909639248946,0.00036458890714530234
128,15.0,corrected,48,1.0210204357951793,1.0211556097372803,-0.00013517394210094125
128,15.0,corrected,49,1.0154107959468839,1.0153210442734648,8.975167341906953e-05
128,15.0,corrected,50,1.0217200164789386,1.022016799465869,-0.0002967829869304772
128,15.0,corrected,51,1.021979895886068,1.021928729743547,5.116614252087537e-05
128,15.0,corrected,52,1.0061448255481362,1.00578686575275,0.00035795979538622014
128,15.0,corrected,53,1.0139007547672436,1.0130882194880702,0.0008125352791734652
128,15.0,corrected,54,1.0252226699089528,1.025793917628007,-0.0005712477190542575
128,15.0,corrected,55,1.0069908397389347,1.0061063534276609,0.0008844863112738022
128,15.0,corrected,56,1.0154915483688773,1.015183241637211,0.00030830673166626354
128,15.0,corrected,57,1.0245377039057653,1.0246519572796233,-0.00011425337385806422
128,15.0,corrected,58,1.0381049145490677,1.0381297328208872,-2.4818271819437854e-05
128,15.0,corrected,59,0.9984328264366847,0.9983911306322194,4.169580446533594e-05
128,15.0,corrected,60,1.0090990155997888,1.00887648828042,0.00022252731936878156
128,15.0,corrected,61,1.0242941589685695,1.0242244551951165,6.970377345294487e-05
128,15.0,corrected,62,1.026391298949007,1.0271640342227597,-0.0007727352737527671
128,15.0,corrected,63,1.021691705748751,1.0219693829215615,-0.00027767717281057536
256,15.0,open,0,1.0150371979633328,1.0144811649911336,0.0005560329721991941
256,15.0,open,1,1.0362391023208115,1.0397458655906429,-0.003506763269831348
256,15.0,open,2,1.022246054629194,1.0184346506719384,0.0038114039572556546
256,15.0,open,3,1.0353643920595696,1.0371964985212958,-0.0018321064617261573
256,15.0,open,4,1.0447665709238125,1.044067610131763,0.0006989607920495633
256,15.0,open,5,1.0214854255512547,1.018179479268468,0.003305946282786687
256,15.0,open,6,1.030711727157721,1.0275175327059125,0.003194194451808574
256,15.0,open,7,1.0179041788381886,1.0138113254560528,0.00409285338213583
256,15.0,open,8,1.0219292340175838,1.024688825256988,-0.002759591239404058
256,15.0,open,9,1.0289281758031683,1.0274927427874527,0.0014354330157155815
256,15.0,open,10,1.0301577155995405,1.0241278520426553,0.006029863556885173
256,15.0,open,11,1.0221707567506355,1.0206643992535958,0.0015063574970397564
256,15.0,open,12,1.033181267355919,1.0315966405672885,0.0015846267886305831
256,15.0,open,13,1.019898716314288,1.0189066772083004,0.0009920391059876632
256,15.0,open,14,1.040125963568123,1.033841199488881,0.006284764079242056
256,15.0,open,15,1.0172305006627809,1.0156885488511793,0.0015419518116015496
256,15.0,open,16,1.0142748123844711,1.0139843208605601,0.0002904915239110295
256,15.0,open,17,1.024091354300202,1.0239109174209882,0.0001804368792137634
256,15.0,open,18,1.0160857607006755,1.0116460088264434,0.004439751874232067
256,15.0,open,19,1.0255084691468277,1.019390844245665,0.006117624901162744
256,15.0,open,20,1.0305561826335214,1.0357010592672136,-0.005144876633692119
256,15.0,open,21,1.0270242982282163,1.028322420496541,-0.0012981222683248195
256,15.0,open,22,1.0184380563433006,1.0177405840272151,0.0006974723160855234
256,15.0,open,23,1.0177935675681378,1.0202473770189837,-0.002453809450845945
256,15.0,open,24,1.0237546594936993,1.0207186533251371,0.0030360061685621442
256,15.0,open,25,1.0491780196250053,1.047150271686939,0.002027747938066371
256,15.0,open,26,1.031570936194056,1.032387295020272,-0.0008163588262160015
256,15.0,open,27,1.0206614148025153,1.0221931882227353,-0.0015317734202200395
256,15.0,open,28,1.0303652294731327,1.028138489670359,0.0022267398027737695
256,15.0,open,29,1.0183257143926658,1.0190800194158889,-0.0007543050232230453
256,15.0,open,30,1.0294372920580683,1.0309495098635577,-0.0015122178054893798
256,15.0,open,31,1.0186750125881718,1.0170122455944912,0.00166276699368062
256,15.0,open,32,1.022490635819941,1.0249572148476327,-0.002466579027691651
256,15.0,open,33,1.0150289168764925,1.010722286250731,0.004306630625761532
256,15.0,open,34,1.0274688019428666,1.0235013601980014,0.0039674417448651855
256,15.0,open,35,1.0439129590477734,1.0433238158110112,0.0005891432367621796
