test,index,value,reference,abs_error
fft_vs_direct,0,3.738355233995705,3.738355233995704,2.7103998191910118e-15
fft_vs_direct,1,5.03404834115963,5.034048341159632,2.701289205785704e-15
fft_vs_direct,2,2.779047710106304,2.779047710106303,1.4043333874306805e-15
fft_vs_direct,3,3.162564439085713,3.1625644390857137,9.930136612989092e-16
fft_vs_direct,4,4.184932275072224,4.184932275072222,2.7336071744532854e-15
fft_vs_direct,5,0.9999927141038184,0.999992714103818,2.950458159105176e-16
fft_vs_direct,6,3.6588871617099534,3.658887161709957,2.360366527284141e-15
fft_vs_direct,7,1.9081986108601503,1.9081986108601512,8.95090418262362e-16
fft_vs_direct,8,4.862350662901533,4.862350662901534,2.2644195468014707e-15
fft_vs_direct,9,7.51401528061944,7.51401528061944,1.6011864169946884e-15
fft_vs_direct,10,1.68425312618797,1.68425312618797,3.3306690738754696e-16
fft_vs_direct,11,2.8721363116044425,2.8721363116044425,2.220446049250313e-16
fft_vs_direct,12,3.296545726444084,3.296545726444085,8.959775382615402e-16
fft_vs_direct,13,0.6888751901128372,0.6888751901128373,3.510833468576701e-16
fft_vs_direct,14,1.5637069446394447,1.5637069446394445,4.47545209131181e-16
fft_vs_direct,15,4.2042038515436975,4.204203851543698,1.047382306668854e-15
fft_vs_direct,16,3.8023154575750993,3.802315457575101,2.318213734067276e-15
fft_vs_direct,17,1.1495017218927337,1.1495017218927344,6.753223014464259e-16
fft_vs_direct,18,1.9663360415209288,1.9663360415209292,2.220446049250313e-16
fft_vs_direct,19,1.974109137716772,1.9741091377167732,1.489520491948364e-15
fft_vs_direct,20,0.94549966685126,0.9454996668512602,2.2887833992611187e-16
fft_vs_direct,21,2.8957833214077286,2.895783321407729,9.930136612989092e-16
fft_vs_direct,22,1.099329396209696,1.0993293962096955,5.23691153334427e-16
fft_vs_direct,23,2.242544932795982,2.2425449327959823,8.005932084973442e-16
fft_vs_direct,24,4.117804849771911,4.117804849771911,2.220446049250313e-16
fft_vs_direct,25,3.0053079055619243,3.0053079055619243,1.1102230246251563e-16
fft_vs_direct,26,3.581962186514669,3.581962186514668,8.899114524108741e-16
fft_vs_direct,27,1.610985289844051,1.610985289844051,0.0
fft_vs_direct,28,1.2855648309750354,1.2855648309750354,4.002966042486721e-16
fft_vs_direct,29,3.078333706581646,3.078333706581646,6.280369834735102e-16
fft_vs_direct,30,2.9393139399081303,2.939313939908129,1.4043333874306805e-15
fft_vs_direct,31,3.070590934528629,3.070590934528629,2.220446049250313e-16
fft_vs_direct,32,1.6620210529282038,1.6620210529282036,2.7755575615628914e-16
fft_vs_direct,33,2.35475060290137,2.35475060290137,5.551115123125784e-16
fft_vs_direct,34,0.8928762939246441,0.8928762939246444,4.163336342344337e-16
fft_vs_direct,35,2.5562883586652374,2.556288358665238,4.996485455209446e-16
fft_vs_direct,36,6.255466154086752,6.255466154086752,2.220446049250313e-16
fft_vs_direct,37,4.07545700782863,4.07545700782863,1.1102230246251563e-16
fft_vs_direct,38,1.5803554521113872,1.5803554521113872,2.220446049250313e-16
fft_vs_direct,39,3.502398623615358,3.5023986236153584,4.965068306494546e-16
fft_vs_direct,40,2.496273155534987,2.496273155534986,4.965068306494546e-16
fft_vs_direct,41,1.8993525132575573,1.8993525132575575,3.1401849173675503e-16
fft_vs_direct,42,0.9901811886410424,0.9901811886410424,0.0
fft_vs_direct,43,2.0562142044247973,2.0562142044247977,6.661338147750939e-16
fft_vs_direct,44,1.4792191122130676,1.4792191122130671,2.2887833992611187e-16
fft_vs_direct,45,3.915378170183415,3.9153781701834167,1.831026719408895e-15
fft_vs_direct,46,2.548244531108651,2.548244531108652,9.930136612989092e-16
fft_vs_direct,47,2.870957488210144,2.870957488210143,4.440892098500626e-16
fft_vs_direct,48,4.849537316681293,4.849537316681293,0.0
fft_vs_direct,49,2.0822038164510084,2.0822038164510084,5.551115123125783e-17
fft_vs_direct,50,1.1543121301941266,1.1543121301941264,2.482534153247273e-16
fft_vs_direct,51,3.221443455755804,3.221443455755804,8.881784197001252e-16
fft_vs_direct,52,5.316489226375468,5.316489226375469,1.790180836524724e-15
fft_vs_direct,53,3.262415437571341,3.2624154375713426,1.831026719408895e-15
fft_vs_direct,54,2.517992734579577,2.517992734579578,8.95090418262362e-16
fft_vs_direct,55,2.7596076023945826,2.759607602394583,4.965068306494546e-16
fft_vs_direct,56,2.2994847224687565,2.2994847224687565,0.0
fft_vs_direct,57,5.018852100120746,5.018852100120746,6.661338147750939e-16
fft_vs_direct,58,2.5764563631883104,2.576456363188311,5.593023969348752e-16
fft_vs_direct,59,1.7985609526176238,1.7985609526176245,5.551115123125784e-16
fft_vs_direct,60,4.431012091983617,4.431012091983619,2.220446049250313e-15
fft_vs_direct,61,2.3112404947820933,2.3112404947820937,6.280369834735102e-16
fft_vs_direct,62,1.849248475203381,1.8492484752033815,6.280369834735102e-16
fft_vs_direct,63,1.4199110088948976,1.419911008894898,4.47545209131181e-16
