N,Z,closure,realization,max_finite,max_ref,delta_max
256,25.0,open,0,1.257879013848685,1.2653556502423091,-0.0074766363936242
256,25.0,open,1,1.9467007247015584,2.045085126048772,-0.0983844013472132
256,25.0,open,2,1.5067707255560516,1.4099860416646133,0.0967846838914383
256,25.0,open,3,1.8608226121796971,1.9333556271210248,-0.0725330149413274
256,25.0,open,4,2.3717276756600616,2.385630462392715,-0.0139027867326535
256,25.0,open,5,1.441822081526712,1.3828946517800405,0.0589274297466715
256,25.0,open,6,1.4768918065571208,1.3504766824655516,0.1264151240915692
256,25.0,open,7,1.18376627417417,1.0912820398494856,0.0924842343246845
256,25.0,open,8,1.42894738896238,1.513079722981922,-0.0841323340195419
256,25.0,open,9,1.5594737535763916,1.5443848156206916,0.0150889379556999
256,25.0,open,10,1.4993947326487091,1.4096650304991252,0.0897297021495839
256,25.0,open,11,1.339823951257597,1.2717162861050686,0.0681076651525283
256,25.0,open,12,1.8150763133128591,1.706797971063171,0.1082783422496878
256,25.0,open,13,1.2922575392536373,1.2645150787861643,0.0277424604674729
256,25.0,open,14,1.7793753514269557,1.6233583327871526,0.1560170186398031
256,25.0,open,15,1.217536910034038,1.2026976361284187,0.0148392739056193
256,25.0,open,16,1.396710214586745,1.316885462989004,0.0798247515977408
256,25.0,open,17,1.4201977530700751,1.4480031163383824,-0.027805363268307
256,25.0,open,18,1.266820560292464,1.1676303023212249,0.0991902579712391
256,25.0,open,19,1.4622802176037986,1.2424539163865909,0.2198263012172077
256,25.0,open,20,1.6205834022596686,1.7190739102269412,-0.0984905079672726
256,25.0,open,21,1.6660528716443852,1.6962099227302538,-0.0301570510858686
256,25.0,open,22,1.2556461498631166,1.2480254507166606,0.007620699146456
256,25.0,open,23,1.3598117324692758,1.3948438649410129,-0.035032132471737
256,25.0,open,24,1.5433018889968706,1.3952698578623417,0.1480320311345291
256,25.0,open,25,2.1013231792927987,2.0972675785318,0.0040556007609993
256,25.0,open,26,1.5637085901468883,1.56095971471491,0.0027488754319782
256,25.0,open,27,1.3825861818681775,1.390184802663186,-0.0075986207950082
256,25.0,open,28,1.5305851155051855,1.4464806139341086,0.0841045015710768
