Z,tau,reference_mode_amplitude,reference_max_intensity,reference_power_rel
5.1000000000000005,1.5295188470831895,1.6527175022835924e-06,1.0000048326068085,-2.2204460492492028e-16
5.2,1.559509412712272,1.7029388163283257e-06,1.0000049667386857,-4.4408920984984055e-16
5.3,1.589499978341354,1.7547039036708628e-06,1.000005105338179,-4.4408920984984055e-16
5.4,1.619490543970436,1.8080582980278208e-06,1.0000052485299615,-4.4408920984984055e-16
5.5,1.6494811095995183,1.8630490508635368e-06,1.0000053964428353,-4.4408920984984055e-16
5.6000000000000005,1.6794716752286003,1.91972476621136e-06,1.000005549209851,-4.4408920984984055e-16
5.7,1.7094622408576825,1.9781356374533225e-06,1.000005706968424,-4.4408920984984055e-16
5.8,1.7394528064867647,2.0383334862880477e-06,1.000005869860461,-4.4408920984984055e-16
5.9,1.769443372115847,2.10037180353883e-06,1.0000060380324856,-4.4408920984984055e-16
6.0,1.7994339377449289,2.164305791948165e-06,1.0000062116357715,-4.4408920984984055e-16
6.1000000000000005,1.8294245033740115,2.2301924110609296e-06,1.0000063908264776,-4.4408920984984055e-16
6.2,1.8594150690030933,2.298090423988841e-06,1.0000065757657894,-4.4408920984984055e-16
6.3,1.8894056346321757,2.3680604462869067e-06,1.000006766620062,-2.2204460492492028e-16
6.4,1.9193962002612577,2.440164996705409e-06,1.0000069635609727,-4.4408920984984055e-16
6.5,1.94938676589034,2.514468550081796e-06,1.0000071667656736,-4.4408920984984055e-16
6.6000000000000005,1.979377331519422,2.591037592216707e-06,1.0000073764169506,-4.4408920984984055e-16
6.7,2.009367897148504,2.6699406768865265e-06,1.000007592703389,-4.4408920984984055e-16
6.8,2.039358462777586,2.751248484889864e-06,1.0000078158195436,-4.4408920984984055e-16
6.9,2.0693490284066685,2.8350338852050484e-06,1.0000080459661107,-4.4408920984984055e-16
7.0,2.0993395940357504,2.921371998491328e-06,1.0000082833501125,-4.4408920984984055e-16
7.1000000000000005,2.129330159664833,3.0103402625917384e-06,1.0000085281850812,-4.4408920984984055e-16
7.2,2.159320725293915,3.102018500357014e-06,1.00000878069125,-4.4408920984984055e-16
7.3,2.189311290922997,3.1964889899055112e-06,1.0000090410957547,-4.4408920984984055e-16
7.4,2.2193018565520792,3.2938365370197062e-06,1.000009309632834,-6.661338147747608e-16
7.5,2.249292422181161,3.394148550069238e-06,1.0000095865440457,-4.4408920984984055e-16
7.6,2.279282987810244,3.4975151173921107e-06,1.0000098720784758,-4.4408920984984055e-16
7.7,2.3092735534393256,3.6040290871642654e-06,1.000010166492971,-4.4408920984984055e-16
7.8,2.339264119068408,3.713786149879753e-06,1.0000104700523649,-8.881784196996811e-16
7.9,2.36925468469749,3.826884923393645e-06,1.0000107830297158,-6.661338147747608e-16
