alpha,rho,sigma,R,Nref,N,Z,closure,D_W,D_W_ci_low,D_W_ci_high,Q99_ref,Q99_finite,Delta99,Delta99_ci_low,Delta99_ci_high,M4_ref,M4_finite,paired_max_mean,paired_max_positive_fraction
0.8,0.3,0.001,64,2048,128,25.0,open,0.01627797373390269,0.011819002643739335,0.035136539400152336,1.9960607680536393,1.9585975138801748,-0.01876859400928709,-0.07815247683054505,0.08887192304314642,1.7707449225870489,1.7643148827243893,0.06122670217006357,0.71875
0.8,0.3,0.001,64,2048,128,25.0,corrected,0.0035079972046390398,0.0028040295732060217,0.005282564246456749,1.9960607680536393,2.0047185735087925,0.004337445830166479,-0.003455871146385487,0.010406980283044695,1.7707449225870489,1.7791575094639567,0.0047922816336116655,0.65625
0.8,0.3,0.001,64,2048,256,25.0,open,0.008547667024605273,0.00678038853726348,0.015253634844344855,1.9931492369409636,2.0011039803830113,0.003991042564507845,-0.03550759988248386,0.044110284583304786,1.9557338759545897,1.868866841812654,0.03537758401865817,0.6875
0.8,0.3,0.001,64,2048,256,25.0,corrected,0.0019331112963973936,0.0015925122225721418,0.002329451669911777,1.9931492369409636,2.000018372529074,0.0034463729362549447,-0.001556516228604248,0.005096425980196657,1.9557338759545897,1.9596145220014083,0.0030844862252863564,0.875
0.8,0.3,0.001,64,2048,512,25.0,open,0.0031926622747968205,0.0031837895415293576,0.005782264440060646,2.025362540799349,2.0270059482693044,0.0008114139749551052,-0.01849929333661886,0.027346106312372394,1.8570132275705542,1.825593792268847,0.009168482211688745,0.625
0.8,0.3,0.001,64,2048,512,25.0,corrected,0.0011903064678752543,0.001060475820966785,0.0013388945354201576,2.025362540799349,2.0300976967863544,0.002337930070108053,0.0010862708436873813,0.002444206447209627,1.8570132275705542,1.858293913104937,0.002233737914224737,0.96875
0.8,0.3,0.001,64,2048,128,30.0,open,0.11474831945340667,0.08534862980534715,0.2083257498754908,8.09424221361779,11.695287994155738,0.44488979764894265,-0.007556668508083505,0.9754839661542529,1009.3490730298531,1822.7503967861905,2.2846507986135864,0.796875
0.8,0.3,0.001,64,2048,128,30.0,corrected,0.03933933018484224,0.032453638599893066,0.05615055581514786,8.09424221361779,9.324350347524067,0.15197323003711677,-0.04668693095361286,0.27628982943152086,1009.3490730298531,1002.5849297930312,0.1788369770154824,0.6875
0.8,0.3,0.001,64,2048,256,30.0,open,0.05396383870387839,0.03903174569840382,0.09510519233512663,10.53070799096552,11.355550064648337,0.07832731421196591,-0.09503193848655488,0.23935363152830658,1049.4393846219048,939.1130409444155,0.8382016644733284,0.671875
0.8,0.3,0.001,64,2048,256,30.0,corrected,0.017778733870893265,0.01678089076931071,0.022113855350506015,10.53070799096552,10.511260977820106,-0.0018466956981523848,-0.05242776570037803,0.05656810360004748,1049.4393846219048,1048.4371468880354,0.16508342860272654,0.90625
0.8,0.3,0.001,64,2048,512,30.0,open,0.027869846215266822,0.023412780944772477,0.045528078302860785,11.129298231322142,10.329509632019157,-0.07186334508065131,-0.1427860539378754,0.05751867267486108,846.173973834835,913.2792941469934,0.8973815323552523,0.640625
0.8,0.3,0.001,64,2048,512,30.0,corrected,0.010832232341429809,0.010485022747082509,0.011775125682110308,11.129298231322142,11.361667614448297,0.02087906876932976,-0.014426803660893106,0.02785623163978013,846.173973834835,842.764306028586,0.14241411524712028,0.875
