alpha,rho,closure,N,error,beta_local
0.8,0.3,corrected,8192,7.011679936006681e-08,2.0208581915845443
0.8,0.3,corrected,16384,1.9212424285217847e-08,1.8677205681516158
0.8,0.3,corrected,32768,5.449004123064106e-09,1.8179750867072804
0.8,0.3,naive_periodic,64,0.09035822060481413,
0.8,0.3,naive_periodic,128,0.046244299251634896,0.966380331575558
0.8,0.3,naive_periodic,256,0.027148981477615908,0.7683774540745723
0.8,0.3,naive_periodic,512,0.01569279362148812,0.7907958719797021
0.8,0.3,naive_periodic,1024,0.009028277090005754,0.7975796002752027
0.8,0.3,naive_periodic,2048,0.005187589724289843,0.7993863131234031
0.8,0.3,naive_periodic,4096,0.0029798059135250354,0.7998460189960168
0.8,0.3,naive_periodic,8192,0.0017114947844494854,0.7999614694122018
0.8,0.3,naive_periodic,16384,0.000983002186578985,0.7999903651384036
0.8,0.3,naive_periodic,32768,0.000564587440026243,0.7999975911461522
1.2,0.15,open,64,0.020954677629079172,
1.2,0.15,open,128,0.007148759251147049,1.551507554410835
1.2,0.15,open,256,0.0034341273805088596,1.0577493138521104
1.2,0.15,open,512,0.0014841547975439524,1.2103019804645
1.2,0.15,open,1024,0.0006455696980061832,1.2009968055382962
1.2,0.15,open,2048,0.0002809393448992372,1.200314177755966
1.2,0.15,open,4096,0.00012227890147132586,1.2000831881671639
1.2,0.15,open,8192,5.3224204913233826e-05,1.200021098185035
1.2,0.15,open,16384,2.3167095779240195e-05,1.2000052935365224
1.2,0.15,open,32768,1.0084054882170391e-05,1.2000013245284422
1.2,0.15,corrected,64,0.0030939972680397608,
1.2,0.15,corrected,128,0.0006377544295386165,2.278399003658104
1.2,0.15,corrected,256,8.348995758938528e-05,2.9333264324815143
1.2,0.15,corrected,512,9.790582574405493e-06,3.09213606357108
1.2,0.15,corrected,1024,1.1288015191134956e-06,3.11660287326468
1.2,0.15,corrected,2048,1.4081717232575908e-07,3.0028966514811364
1.2,0.15,corrected,4096,2.1295344331734624e-08,2.725213315378097
1.2,0.15,corrected,8192,3.963623082816529e-09,2.425646375140111
1.2,0.15,corrected,16384,8.220462419350796e-10,2.2695283211386603
1.2,0.15,corrected,32768,1.7663047852573262e-10,2.21848524185723
1.2,0.15,naive_periodic,64,0.020042764953690673,
1.2,0.15,naive_periodic,128,0.007203081420970661,1.4763954287633438
1.2,0.15,naive_periodic,256,0.0032588304190258044,1.144259932103575
1.2,0.15,naive_periodic,512,0.0014349416255419467,1.1833622317475752
1.2,0.15,naive_periodic,1024,0.0006265108230405492,1.1955807106380876
1.2,0.15,naive_periodic,2048,0.00027291720022139254,1.198876111175098
1.2,0.15,naive_periodic,4096,0.00011881735213675748,1.199717777972587
1.2,0.15,naive_periodic,8192,5.1720788613277e-05,1.1999293653871634
1.2,0.15,naive_periodic,16384,2.2513056467318715e-05,1.1999823363827988
1.2,0.15,naive_periodic,32768,9.79940699141757e-06,1.199995583776831
1.2,0.3,open,64,0.016426107943126163,
1.2,0.3,open,128,0.007886446044292632,1.0585434694966582
1.2,0.3,open,256,0.003409815756335966,1.2096815214357768
1.2,0.3,open,512,0.0014831436611364884,1.2010354400141128
1.2,0.3,open,1024,0.0006454306615968328,1.2003243270221782
1.2,0.3,open,2048,0.00028092331340692653,1.200085759061497
1.2,0.3,open,4096,0.00012227713149497968,1.2000217430597937
1.2,0.3,open,8192,5.3224011607615596e-05,1.200005454900709
