alpha,rho,q,lambda_inf,mi_gain
0.8,0.15,0.2748893571891069,0.6565688594979135,0.0
0.8,0.15,0.2827433388230814,0.6710399735186996,0.0
0.8,0.15,0.2905973204570559,0.6854034634887989,0.0
0.8,0.15,0.2984513020910304,0.6996620687329762,0.0
0.8,0.15,0.3063052837250049,0.713818370284101,0.0
0.8,0.15,0.3141592653589793,0.7278748038419103,0.0
0.8,0.15,0.3220132469929538,0.7418336713737934,0.0
0.8,0.15,0.3298672286269283,0.7556971515295159,0.0
0.8,0.15,0.3377212102609028,0.7694673090164625,0.0
0.8,0.15,0.3455751918948773,0.783146103060876,0.0
0.8,0.15,0.3534291735288518,0.7967353950629199,0.0
0.8,0.15,0.3612831551628262,0.8102369555385687,0.0
0.8,0.15,0.3691371367968007,0.8236524704287997,0.0
0.8,0.15,0.3769911184307752,0.8369835468459725,0.0
0.8,0.15,0.3848451000647497,0.8502317183182662,0.0
0.8,0.15,0.3926990816987242,0.8633984495853577,0.0
0.8,0.15,0.40055306333269863,0.8764851409919325,0.0
0.8,0.15,0.4084070449666731,0.8894931325199711,0.0
0.8,0.15,0.4162610266006476,0.902423707495875,0.0
0.8,0.15,0.4241150082346221,0.9152780960042923,0.0
0.8,0.15,0.4319689898685966,0.9280574780368305,0.0
0.8,0.15,0.4398229715025711,0.9407629864007019,0.0
0.8,0.15,0.44767695313654554,0.9533957094095433,0.0
0.8,0.15,0.45553093477052004,0.9659566933762667,0.0
0.8,0.15,0.46338491640449453,0.9784469449256541,0.0
0.8,0.15,0.471238898038469,0.9908674331425709,0.0
0.8,0.15,0.4790928796724435,1.003219091570013,0.0
0.8,0.15,0.48694686130641796,1.0155028200697815,0.0
0.8,0.15,0.49480084294039245,1.0277194865572852,0.0
0.8,0.15,0.5026548245743669,1.039869928620844,0.0
0.8,0.15,0.5105088062083414,1.0519549550348772,0.0
0.8,0.15,0.5183627878423159,1.0639753471754354,0.0
0.8,0.15,0.5262167694762904,1.0759318603457788,0.0
0.8,0.15,0.5340707511102649,1.087825225018964,0.0
0.8,0.15,0.5419247327442394,1.0996561480037785,0.0
0.8,0.15,0.5497787143782138,1.1114253135397967,0.0
0.8,0.15,0.5576326960121883,1.1231333843268148,0.0
0.8,0.15,0.5654866776461628,1.1347810024934577,0.0
0.8,0.15,0.5733406592801373,1.1463687905093563,0.0
0.8,0.15,0.5811946409141118,1.1578973520449076,0.0
0.8,0.15,0.5890486225480862,1.1693672727822846,0.0
0.8,0.15,0.5969026041820608,1.1807791211810965,0.0
0.8,0.15,0.6047565858160352,1.1921334492017666,0.0
0.8,0.15,0.6126105674500097,1.2034307929895125,0.0
0.8,0.15,0.6204645490839842,1.2146716735215275,0.0
0.8,0.15,0.6283185307179586,1.2258565972197963,0.0
0.8,0.15,0.6361725123519332,1.2369860565317687,0.0
0.8,0.15,0.6440264939859076,1.248060530480961,0.0
0.8,0.15,0.6518804756198822,1.2590804851893789,0.0
0.8,0.15,0.6597344572538566,1.2700463743735328,0.0
0.8,0.15,0.6675884388878311,1.2809586398156827,0.0
0.8,0.15,0.6754424205218056,1.291817711811814,0.0
0.8,0.15,0.68329640215578,1.3026240095977566,0.0
0.8,0.15,0.6911503837897546,1.3133779417547582,0.0
0.8,0.15,0.699004365423729,1.324079906595712,0.0
0.8,0.15,0.7068583470577036,1.3347302925331792,0.0
0.8,0.15,0.714712328691678,1.3453294784302505,0.0
0.8,0.15,0.7225663103256524,1.3558778339352267,0.0
0.8,0.15,0.730420291959627,1.3663757198010353,0.0
0.8,0.15,0.7382742735936014,1.3768234881902353,0.0
0.8,0.15,0.746128255227576,1.387221482966404,0.0
0.8,0.15,0.7539822368615504,1.3975700399726487,0.0
0.8,0.15,0.7618362184955249,1.4078694872979507,0.0
0.8,0.15,0.7696902001294994,1.4181201455319732,0.0
0.8,0.15,0.7775441817634738,1.4283223280089759,0.0
0.8,0.15,0.7853981633974484,1.438476341041368,0.0
0.8,0.15,0.7932521450314228,1.4485824841434725,0.0
0.8,0.15,0.8011061266653973,1.4586410502459912,0.0
0.8,0.15,0.8089601082993718,1.468652325901638,0.0
0.8,0.15,0.8168140899333463,1.4786165914823988,0.0
0.8,0.15,0.8246680715673208,1.4885341213688275,0.0
0.8,0.15,0.8325220532012952,1.4984051841317723,0.0
0.8,0.15,0.8403760348352697,1.5082300427069113,0.0
0.8,0.15,0.8482300164692442,1.5180089545624387,0.0
0.8,0.15,0.8560839981032187,1.5277421718602278,0.0
0.8,0.15,0.8639379797371932,1.537429941610799,0.0
0.8,0.15,0.8717919613711677,1.5470725058223587,0.0
0.8,0.15,0.8796459430051422,1.5566701016442193,0.0
0.8,0.15,0.8874999246391166,1.5662229615048218,0.0
0.8,0.15,0.8953539062730911,1.5757313132446515,0.0
0.8,0.15,0.9032078879070656,1.585195380244248,0.0
0.8,0.15,0.9110618695410401,1.5946153815475357,0.0
0.8,0.15,0.9189158511750146,1.603991531980706,0.0
0.8,0.15,0.9267698328089891,1.6133240422668218,0.0
0.8,0.15,0.9346238144429635,1.6226131191363435,0.0
0.8,0.15,0.942477796076938,1.631858965433764,0.0
0.8,0.15,0.9503317777109125,1.6410617802205012,0.0
0.8,0.15,0.958185759344887,1.6502217588742272,0.0
0.8,0.15,0.9660397409788615,1.6593390931847756,0.0
0.8,0.15,0.9738937226128359,1.668413971446776,0.0
0.8,0.15,0.9817477042468105,1.6774465785491455,0.0
0.8,0.15,0.9896016858807849,1.6864370960615842,0.0
0.8,0.15,0.9974556675147594,1.6953857023181709,0.0
0.8,0.15,1.0053096491487339,1.7042925724982159,0.0
0.8,0.15,1.0131636307827083,1.7131578787044328,0.0
0.8,0.15,1.0210176124166828,1.7219817900385994,0.0
0.8,0.15,1.0288715940506574,1.730764472674738,0.0
0.8,0.15,1.0367255756846319,1.7395060899299721,0.0
0.8,0.15,1.0445795573186063,1.7482068023331254,0.0
0.8,0.15,1.0524335389525807,1.756866767691138,0.0
0.8,0.15,1.0602875205865552,1.7654861411534277,0.0
0.8,0.15,1.0681415022205298,1.7740650752742175,0.0
0.8,0.15,1.0759954838545043,1.7826037200729576,0.0
0.8,0.15,1.0838494654884787,1.7911022230928932,0.0
0.8,0.15,1.0917034471224532,1.7995607294578357,0.0
0.8,0.15,1.0995574287564276,1.8079793819272274,0.0
