alpha,rho,q_star,g_max,q_c,g_c,period,mode_index,g_ratio,lambda_qc
0.8,0.15,0.04240272165424479,0.15,0.04908738521234052,0.14884674939055914,128,1,0.9923116626037276,0.16856462215785922
0.8,0.3,0.10137184401556944,0.3,0.09817477042468103,0.29990565629082155,64,1,0.9996855209694052,0.29247688064885374
1.2,0.15,0.11941318751429747,0.15,0.09817477042468103,0.1468434516569534,64,1,0.9789563443796894,0.11938953274659159
1.2,0.3,0.21804560529728878,0.3,0.19634954084936207,0.2980904795342038,64,2,0.9936349317806794,0.26620553283348874
1.6,0.15,0.19276018676842335,0.15,0.19634954084936207,0.14994477230131079,64,2,0.9996318153420719,0.15407004416536904
1.6,0.3,0.31302008753199706,0.3,0.2945243112740431,0.2989848978959758,64,3,0.9966163263199195,0.2753417188325525
