alpha,rho,q,lambda_inf,mi_gain,panel,q_star,g_max,q_c,g_c,period,mode_index,g_ratio,lambda_qc,g_theory,g_num,beta_static,logA,A,mu,restricted_r2,beta_dynamic,mu_free,g_eff,g_eff_ratio,n_fit
0.8,0.3,0.1963495408493621,0.5051869201049817,0.2188568660513803,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.2042035224833365,0.5209330627102962,0.2029497026394676,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.212057504117311,0.536531107784691,0.1845346445796746,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.2199114857512855,0.5519866000307119,0.1627966627574472,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.22776546738526,0.5673046497099659,0.1361918655552982,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.2356194490192345,0.582489980452223,0.1009921330802684,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.2434734306532089,0.597546970387276,0.0382857729888464,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.2513274122871834,0.6124796877171925,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.2591813939211579,0.6272919216304733,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.2670353755551324,0.6419872092905679,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.2748893571891069,0.6565688594979135,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.2827433388230814,0.6710399735186996,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.2905973204570559,0.6854034634887989,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.2984513020910304,0.6996620687329762,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.3063052837250049,0.713818370284101,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.3141592653589793,0.7278748038419103,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.3220132469929538,0.7418336713737934,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.3298672286269283,0.7556971515295159,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.3377212102609028,0.7694673090164625,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.3455751918948773,0.783146103060876,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
