alpha,rho,threshold,n_points,slope_Z_vs_lnN,intercept,r2,predicted_slope_beta_over_g,slope_ratio
0.8,0.15,1e-05,4,4.198242568986883,9.140000000000004,0.9867855270057685,5.336553124124908,0.7866955451090565
0.8,0.15,3e-05,4,3.8664227095824235,18.169999999999995,0.978795312074135,5.336553124124908,0.7245168594131521
0.8,0.15,0.0001,4,3.664445403857966,27.11000000000001,0.9733856366928187,5.336553124124908,0.686668963772166
0.8,0.15,0.0003,4,3.577883701404631,34.66999999999999,0.9853252162768347,5.336553124124908,0.6704484370688871
0.8,0.15,0.001,4,3.520175899769069,42.71000000000001,0.9945873705312394,5.336553124124908,0.6596347526000335
0.8,0.3,1e-05,4,2.7122666768712507,4.8700000000000045,0.9967287084038353,2.6692423837674832,1.0161185411131683
0.8,0.3,3e-05,4,2.7699744785068083,8.280000000000012,0.9974025974025973,2.6692423837674832,1.0377380845411077
0.8,0.3,0.0001,4,2.957524833822374,11.150000000000006,0.9936162666981911,2.6692423837674832,1.108001600681912
0.8,0.3,0.0003,4,3.116221288320162,13.79,0.9931034482758622,2.6692423837674832,1.167455345108747
0.8,0.3,0.001,4,3.4047602964979506,15.940000000000019,0.9910320284697508,2.6692423837674832,1.2755530622484443
1.2,0.15,1e-05,4,7.646283716711505,2.45000000000001,0.9993596129215884,8.17930570465551,0.9348328565784478
1.2,0.15,3e-05,4,7.963676625707078,6.88000000000001,0.9988985051140831,8.17930570465551,0.9736372393043458
1.2,0.15,0.0001,4,8.208934782658206,12.45999999999998,0.9981071290944123,8.17930570465551,1.0036224441379946
1.2,0.15,0.0003,4,8.439765989200433,17.600000000000023,0.9974642591702005,8.17930570465551,1.0318438133931922
1.2,0.15,0.001,4,8.569608542880443,24.06000000000001,0.9962053193291549,8.17930570465551,1.0477183335992417
1.2,0.3,1e-05,4,3.9241305112179816,4.479999999999997,0.9987041036717064,4.026137547717273,0.9746637974261145
1.2,0.3,3e-05,4,3.9241305112179794,7.780000000000005,0.9987041036717064,4.026137547717273,0.974663797426114
1.2,0.3,0.0001,4,3.9818383128535397,11.039999999999996,0.9975903614457832,4.026137547717273,0.9889970885647338
1.2,0.3,0.0003,4,4.025119164080206,14.06000000000001,0.9967475510596072,4.026137547717273,0.9997470569186977
1.2,0.3,0.001,4,3.880849659991311,18.410000000000004,0.9943112332531777,4.026137547717273,0.9639138290721496
1.6,0.15,1e-05,4,11.036617062800573,-1.8500000000000156,0.9989246485905218,10.672184885978808,1.0341478507648942
1.6,0.15,3e-05,4,11.296302170160583,3.5700000000000074,0.9974522292993632,10.672184885978808,1.0584807413711268
1.6,0.15,0.0001,4,11.426144723840592,10.379999999999995,0.9943313677002091,10.672184885978808,1.0706471866742433
1.6,0.15,0.0003,3,12.33504259960063,12.30000000000004,0.9917582417582416,10.672184885978808,1.1558123037960573
1.6,0.3,1e-05,4,5.193702147200269,4.600000000000001,0.9993830968537941,5.351848608938331,0.970450124191866
1.6,0.3,3e-05,4,5.193702147200266,7.95000000000001,0.9986130374479889,5.351848608938331,0.9704501241918655
1.6,0.3,0.0001,4,4.7753205853424685,13.840000000000003,0.9922655436308475,5.351848608938331,0.8922749752986322
1.6,0.3,0.0003,4,3.7510071063113033,22.450000000000006,0.952380952380952,5.351848608938331,0.7008806452496806
1.6,0.3,0.001,3,3.101794337911269,28.833333333333343,0.9504797806716928,5.351848608938331,0.5795743797256973
